course_code,course_name,description,level,capacity,skills,kulliyyah,program
CSCI1100,Introduction to Computing,"Fundamentals of computing, computer systems, and digital literacy",1,3,"Computer Literacy,Digital Skills",KICT,Computer Science
CSCI1201,Programming I,"Introduction to programming using Python, basic algorithms and problem solving",1,3,"Python,Problem Solving,Algorithms",KICT,Computer Science
CSCI2101,Data Structures,"Arrays, linked lists, stacks, queues, trees, and algorithms",2,3,"Data Structures,Algorithms,C++",KICT,Computer Science
CSCI2201,Object-Oriented Programming,"OOP concepts, classes, inheritance, polymorphism using Java",2,3,"Java,OOP,Design Patterns",KICT,Computer Science
CSCI2301,Database Systems,"Relational databases, SQL, normalization, and database design",2,3,"SQL,Database Design,MySQL",KICT,Computer Science
CSCI3101,Web Development,"HTML, CSS, JavaScript, frontend and backend web development",3,3,"HTML,CSS,JavaScript,Node.js",KICT,Computer Science
CSCI3201,Mobile App Development,"Native and cross-platform mobile app development for iOS and Android",3,3,"Flutter,React Native,Mobile UI",KICT,Computer Science
CSCI3301,Software Engineering,"Software development lifecycle, requirements, design, testing, maintenance",3,3,"SDLC,UML,Testing,Agile",KICT,Software Engineering
CSCI3401,Computer Networks,"Network protocols, architecture, TCP/IP, network security",3,3,"Networking,TCP/IP,Security",KICT,Computer Science
CSCI4101,Artificial Intelligence,"AI concepts including machine learning, search, and reasoning",4,3,"Machine Learning,Python,AI Algorithms",KICT,Computer Science
CSCI4201,Data Science,"Data analysis, visualization, statistics, and machine learning techniques",4,3,"Python,Data Analysis,ML,Statistics",KICT,Data Science
CSCI4301,Cybersecurity,"Network security, cryptography, ethical hacking, and security protocols",4,3,"Security,Cryptography,Ethical Hacking",KICT,Computer Science
CSCI4401,Cloud Computing,"Cloud architecture, AWS, Azure, containerization, and microservices",4,3,"AWS,Docker,Kubernetes,DevOps",KICT,Computer Science
CSCI4501,Big Data Analytics,"Hadoop, Spark, big data processing, and analytics techniques",4,3,"Hadoop,Spark,Big Data,Python",KICT,Data Science
CSCI4601,Game Development,"Game design, Unity, game engines, and interactive media",4,3,"Unity,C#,Game Design",KICT,Computer Science
CSCI4602,IoT and Embedded Systems,"Internet of Things, Arduino, sensors, and embedded programming",4,3,"IoT,Arduino,Embedded Systems",KICT,Computer Science
CSCI4603,Blockchain Technology,"Blockchain fundamentals, smart contracts, and cryptocurrency",4,3,"Blockchain,Solidity,Smart Contracts",KICT,Computer Science
INFO2101,IT Project Management,"Project planning, management methodologies, and team coordination",2,3,"Project Management,Agile,Scrum",KICT,Information Technology
INFO3101,Business Intelligence,"BI tools, data warehousing, reporting, and analytics",3,3,"BI Tools,Data Warehousing,Tableau",KICT,Information Technology
INFO3201,System Analysis and Design,"Requirements gathering, system design, and UML modeling",3,3,"UML,System Design,Requirements",KICT,Information Technology
INFO4101,Digital Marketing,"SEO, social media marketing, analytics, and online advertising",4,3,"Digital Marketing,SEO,Analytics",KICT,Information Technology
MATH2101,Discrete Mathematics,"Logic, sets, relations, graph theory, and combinatorics",2,3,"Logic,Graph Theory,Mathematics",KICT,Computer Science
STAT3101,Probability and Statistics,"Probability theory, statistical inference, and data analysis",3,3,"Statistics,Probability,Data Analysis",KICT,Data Science
ECE2201,Digital Logic Design,"Boolean algebra, logic gates, combinational and sequential circuits",2,3,"Digital Logic,Circuit Design,VHDL",KOE,Electrical Engineering
ECE2301,Circuit Analysis,"DC and AC circuit analysis, network theorems, and circuit simulation",2,3,"Circuit Analysis,SPICE,Electronics",KOE,Electrical Engineering
ECE3101,Microprocessor Systems,"Microprocessor architecture, assembly language, and interfacing",3,3,"Microprocessors,Assembly,Embedded Systems",KOE,Electrical Engineering
ECE3201,Signal Processing,"Digital signal processing, filters, Fourier analysis, and applications",3,3,"Signal Processing,MATLAB,DSP",KOE,Electrical Engineering
